state,year,act_composite,act_english,act_math,act_participation,act_reading,act_science,sat_ebrw,sat_math,sat_participation,sat_total
Alabama,2018,19.1,18.9,18.3,100,19.6,19.0,595,571,6,1166
Alaska,2018,20.8,19.8,20.6,33,21.6,20.7,562,544,43,1106
Arizona,2018,19.2,18.2,19.4,66,19.5,19.2,577,572,29,1149
Arkansas,2018,19.4,19.1,18.9,100,19.7,19.4,592,576,5,1169
California,2018,22.7,22.5,22.5,27,23.0,22.1,540,536,60,1076
Colorado,2018,23.9,23.9,23.2,30,24.4,23.5,519,506,100,1025
Connecticut,2018,25.6,26.0,24.8,26,26.1,24.9,535,519,100,1053
Delaware,2018,23.2,23.7,23.1,17,24.5,23.4,505,492,100,998
District of Columbia,2018,23.6,23.7,22.7,32,24.4,23.0,497,480,92,977
Florida,2018,19.9,19.2,19.3,66,21.1,19.5,550,549,56,1099
Georgia,2018,21.4,20.9,20.7,53,21.2,21.4,542,522,70,1064
Hawaii,2018,18.9,18.2,19.0,89,19.1,19.0,480,530,56,1010
Idaho,2018,22.3,21.9,21.6,36,23.2,22.1,508,493,100,1001
Illinois,2018,23.9,24.1,23.4,43,24.2,23.4,513,506,99,1019
Indiana,2018,22.5,21.9,22.3,32,23.1,22.2,542,532,63,1074
Iowa,2018,21.8,21.0,21.2,68,22.5,22.0,634,631,3,1265
Kansas,2018,21.6,21.0,21.1,71,22.3,21.5,633,631,4,1265
Kentucky,2018,20.2,19.9,19.7,100,20.8,20.1,630,618,4,1248
Louisiana,2018,19.2,19.0,18.5,100,19.6,19.1,615,595,4,1210
Maine,2018,24.0,23.8,23.6,7,24.7,23.4,512,501,99,1013
Maryland,2018,22.5,22.1,22.0,31,23.1,22.2,545,535,76,1080
Massachusetts,2018,25.5,25.5,25.2,25,25.9,24.7,562,563,80,1125
Michigan,2018,24.4,24.5,23.9,22,24.7,23.9,511,499,100,1011
Minnesota,2018,21.3,20.2,21.4,99,21.7,21.4,643,655,4,1298
Mississippi,2018,18.6,18.2,18.1,100,18.9,18.6,630,606,3,1236
Missouri,2018,20.0,19.5,19.7,100,20.5,20.0,633,629,4,1262
Montana,2018,20.0,18.7,19.9,100,20.7,20.0,606,592,10,1198
Nebraska,2018,20.1,19.4,19.8,100,20.4,20.1,629,623,3,1252
Nevada,2018,17.7,16.6,17.8,100,18.0,17.9,574,566,23,1140
New Hampshire,2018,25.1,25.1,24.7,16,25.6,24.4,535,528,96,1063
New Jersey,2018,23.7,23.8,23.6,31,24.0,23.0,547,547,82,1094
New Mexico,2018,19.4,18.3,19.1,67,20.1,19.7,552,540,16,1093
New York,2018,24.5,24.2,24.2,27,24.9,24.2,534,534,79,1068
North Carolina,2018,19.1,18.0,19.3,100,19.5,19.2,554,543,52,1098
North Dakota,2018,20.3,19.1,20.3,98,20.7,20.5,640,643,2,1283
Oklahoma,2018,19.3,18.4,18.8,100,20.1,19.4,541,521,8,1062
Ohio,2018,20.3,19.3,20.3,100,20.8,20.4,552,547,18,1099
Oregon,2018,21.3,20.6,20.9,42,21.9,21.1,564,553,48,1117
Pennsylvania,2018,23.5,23.3,23.2,20,24.0,23.1,547,539,70,1086
Rhode Island,2018,24.2,24.4,23.6,15,25.0,23.5,513,505,97,1018
South Carolina,2018,18.3,17.3,18.2,100,18.6,18.5,547,523,55,1070
South Dakota,2018,21.9,20.8,21.6,77,22.4,22.2,622,618,3,1240
Tennessee,2018,19.6,19.4,19.1,100,19.9,19.6,624,607,6,1231
Texas,2018,20.6,19.6,20.6,41,21.1,20.8,520,512,66,1032
Utah,2018,20.4,19.7,19.9,100,20.9,20.5,480,530,4,1010
Vermont,2018,24.1,23.9,23.4,24,24.9,23.8,565,554,64,1120
Virginia,2018,23.9,23.8,23.3,24,24.7,23.5,567,550,68,1117
